level,games,wins,losses,draws,score_rate,white_score_rate,black_score_rate,avg_plies,avg_game_ms,avg_move_latency_ms,avg_depth,avg_score_cp,reasons
1,120,15,105,0,0.1250,0.1000,0.1500,79.36,14278.20,63.45,21.19,-223.89,"checkmate:120"
2,120,20,99,1,0.1708,0.1917,0.1500,88.59,16284.14,74.23,21.53,-192.33,"checkmate:119; threefold-repetition:1"
3,120,36,81,3,0.3125,0.3250,0.3000,95.33,19976.99,106.17,22.18,-102.22,"checkmate:117; insufficient-material:1; threefold-repetition:1; max-plies-limit:1"
4,120,49,69,2,0.4167,0.3750,0.4583,94.64,21251.03,129.66,22.09,-52.63,"checkmate:118; threefold-repetition:2"
5,120,75,28,17,0.6958,0.7000,0.6917,99.74,33370.41,281.18,22.44,33.44,"checkmate:103; threefold-repetition:11; insufficient-material:2; max-plies-limit:3; fifty-move-rule:1"
6,120,94,11,15,0.8458,0.8750,0.8167,96.76,41619.39,512.78,24.06,169.46,"checkmate:105; threefold-repetition:9; insufficient-material:3; max-plies-limit:3"
7,120,105,1,14,0.9333,0.9667,0.9000,94.13,57044.54,971.27,27.61,353.53,"checkmate:106; threefold-repetition:10; fifty-move-rule:1; insufficient-material:2; max-plies-limit:1"
