pair,left_level,right_level,games,left_wins,right_wins,draws,left_score_rate,right_score_rate,draw_rate,avg_plies,avg_game_ms,left_as_white_score_rate,left_as_black_score_rate,reasons
1-2,1,2,4,0,2,2,0.2500,0.7500,0.5000,112.50,6504.00,0.5000,0.0000,"max-plies-limit:2; checkmate:2"
1-3,1,3,4,1,3,0,0.2500,0.7500,0.0000,98.25,6553.25,0.0000,0.5000,"checkmate:4"
1-4,1,4,4,0,4,0,0.0000,1.0000,0.0000,68.50,6220.50,0.0000,0.0000,"checkmate:4"
1-5,1,5,4,0,4,0,0.0000,1.0000,0.0000,75.50,14064.25,0.0000,0.0000,"checkmate:4"
1-6,1,6,4,0,4,0,0.0000,1.0000,0.0000,79.50,23563.75,0.0000,0.0000,"checkmate:4"
1-7,1,7,4,0,4,0,0.0000,1.0000,0.0000,63.50,29710.00,0.0000,0.0000,"checkmate:4"
2-3,2,3,4,1,3,0,0.2500,0.7500,0.0000,101.75,8663.75,0.5000,0.0000,"checkmate:4"
2-4,2,4,4,1,3,0,0.2500,0.7500,0.0000,71.25,7705.50,0.5000,0.0000,"checkmate:4"
2-5,2,5,4,0,4,0,0.0000,1.0000,0.0000,97.00,19754.25,0.0000,0.0000,"checkmate:4"
2-6,2,6,4,0,4,0,0.0000,1.0000,0.0000,70.50,21912.50,0.0000,0.0000,"checkmate:4"
2-7,2,7,4,0,4,0,0.0000,1.0000,0.0000,51.50,24655.00,0.0000,0.0000,"checkmate:4"
3-4,3,4,4,0,4,0,0.0000,1.0000,0.0000,84.50,9639.25,0.0000,0.0000,"checkmate:4"
3-5,3,5,4,0,4,0,0.0000,1.0000,0.0000,70.00,14777.75,0.0000,0.0000,"checkmate:4"
3-6,3,6,4,0,4,0,0.0000,1.0000,0.0000,61.00,19573.75,0.0000,0.0000,"checkmate:4"
3-7,3,7,4,0,4,0,0.0000,1.0000,0.0000,77.00,37481.50,0.0000,0.0000,"checkmate:4"
4-5,4,5,4,1,3,0,0.2500,0.7500,0.0000,90.25,20748.25,0.5000,0.0000,"checkmate:4"
4-6,4,6,4,0,4,0,0.0000,1.0000,0.0000,73.00,24622.25,0.0000,0.0000,"checkmate:4"
4-7,4,7,4,0,2,2,0.2500,0.7500,0.5000,65.25,33518.00,0.5000,0.0000,"threefold-repetition:2; checkmate:2"
5-6,5,6,4,0,1,3,0.3750,0.6250,0.7500,130.50,57288.25,0.2500,0.5000,"checkmate:1; max-plies-limit:3"
5-7,5,7,4,0,3,1,0.1250,0.8750,0.2500,116.25,69259.25,0.2500,0.0000,"checkmate:3; threefold-repetition:1"
6-7,6,7,4,0,0,4,0.5000,0.5000,1.0000,117.75,85820.00,0.5000,0.5000,"threefold-repetition:3; max-plies-limit:1"
